PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20000515,MSFT,MICROSOFT CORP,69.375,2
10107,20000516,MSFT,MICROSOFT CORP,69.5,2
10107,20000517,MSFT,MICROSOFT CORP,67.6875,2
10107,20000518,MSFT,MICROSOFT CORP,66.1875,2
10107,20000519,MSFT,MICROSOFT CORP,65.0625,2
10107,20000522,MSFT,MICROSOFT CORP,64.1875,2
10107,20000523,MSFT,MICROSOFT CORP,63.1875,2
10107,20000524,MSFT,MICROSOFT CORP,65.5625,2
10107,20000525,MSFT,MICROSOFT CORP,61.5,2
10107,20000526,MSFT,MICROSOFT CORP,61.4375,2
10107,20000530,MSFT,MICROSOFT CORP,63.375,2
10107,20000531,MSFT,MICROSOFT CORP,62.5625,2
10107,20000601,MSFT,MICROSOFT CORP,64.5625,2
10107,20000602,MSFT,MICROSOFT CORP,66.3125,2
10107,20000605,MSFT,MICROSOFT CORP,66.875,2
10107,20000606,MSFT,MICROSOFT CORP,69.625,2
10107,20000607,MSFT,MICROSOFT CORP,70.5,2
10107,20000608,MSFT,MICROSOFT CORP,68.8125,2
10107,20000609,MSFT,MICROSOFT CORP,68.8125,2
10107,20000612,MSFT,MICROSOFT CORP,66.875,2
10107,20000613,MSFT,MICROSOFT CORP,67.875,2
10107,20000614,MSFT,MICROSOFT CORP,70.5,2
10107,20000615,MSFT,MICROSOFT CORP,72.375,2
10107,20000616,MSFT,MICROSOFT CORP,72.5625,2
10107,20000619,MSFT,MICROSOFT CORP,73.6875,2
10107,20000620,MSFT,MICROSOFT CORP,74.9375,2
10107,20000621,MSFT,MICROSOFT CORP,80.6875,2
10107,20000622,MSFT,MICROSOFT CORP,79.875,2
10107,20000623,MSFT,MICROSOFT CORP,77.6875,2
10107,20000626,MSFT,MICROSOFT CORP,79.5,2
10107,20000627,MSFT,MICROSOFT CORP,78.8125,2
10107,20000628,MSFT,MICROSOFT CORP,78.9375,2
10107,20000629,MSFT,MICROSOFT CORP,77.1875,2
10107,20000630,MSFT,MICROSOFT CORP,80,2
10107,20000703,MSFT,MICROSOFT CORP,80,2
10107,20000705,MSFT,MICROSOFT CORP,78.5,2
10107,20000706,MSFT,MICROSOFT CORP,80.9375,2
10107,20000707,MSFT,MICROSOFT CORP,82,2
10107,20000710,MSFT,MICROSOFT CORP,79.4375,2
10107,20000711,MSFT,MICROSOFT CORP,79.125,2
10107,20000712,MSFT,MICROSOFT CORP,80.3125,2
10107,20000713,MSFT,MICROSOFT CORP,79.9375,2
10107,20000714,MSFT,MICROSOFT CORP,78.9375,2
10107,20000717,MSFT,MICROSOFT CORP,78.1875,2
10107,20000718,MSFT,MICROSOFT CORP,78.5,2
10107,20000719,MSFT,MICROSOFT CORP,73.125,2
10107,20000720,MSFT,MICROSOFT CORP,74.8125,2
10107,20000721,MSFT,MICROSOFT CORP,72.3125,2
10107,20000724,MSFT,MICROSOFT CORP,70.5625,2
10107,20000725,MSFT,MICROSOFT CORP,69,2
10107,20000726,MSFT,MICROSOFT CORP,67.8125,2
10107,20000727,MSFT,MICROSOFT CORP,69.375,2
10107,20000728,MSFT,MICROSOFT CORP,69.6875,2
10107,20000731,MSFT,MICROSOFT CORP,69.8125,2
10107,20000801,MSFT,MICROSOFT CORP,68.6875,2
10107,20000802,MSFT,MICROSOFT CORP,69.375,2
10107,20000803,MSFT,MICROSOFT CORP,70.25,2
10107,20000804,MSFT,MICROSOFT CORP,69.125,2
10107,20000807,MSFT,MICROSOFT CORP,70,2
10107,20000808,MSFT,MICROSOFT CORP,74.125,2
10107,20000809,MSFT,MICROSOFT CORP,74.25,2
10107,20000810,MSFT,MICROSOFT CORP,72.625,2
10107,20000811,MSFT,MICROSOFT CORP,72.4375,2
10107,20000814,MSFT,MICROSOFT CORP,72.1875,2
10107,20000815,MSFT,MICROSOFT CORP,71.625,2
10107,20000816,MSFT,MICROSOFT CORP,71,2
10107,20000817,MSFT,MICROSOFT CORP,71.5625,2
10107,20000818,MSFT,MICROSOFT CORP,71,2
10107,20000821,MSFT,MICROSOFT CORP,70.625,2
10107,20000822,MSFT,MICROSOFT CORP,71.25,2
10107,20000823,MSFT,MICROSOFT CORP,70.75,2
10107,20000824,MSFT,MICROSOFT CORP,71.125,2
10107,20000825,MSFT,MICROSOFT CORP,70.625,2
10107,20000828,MSFT,MICROSOFT CORP,71.3125,2
10107,20000829,MSFT,MICROSOFT CORP,70.9375,2
10107,20000830,MSFT,MICROSOFT CORP,70,2
10107,20000831,MSFT,MICROSOFT CORP,69.8125,2
10107,20000901,MSFT,MICROSOFT CORP,70.1875,2
10107,20000905,MSFT,MICROSOFT CORP,70.125,2
10107,20000906,MSFT,MICROSOFT CORP,69.4375,2
10107,20000907,MSFT,MICROSOFT CORP,70.0625,2
10107,20000908,MSFT,MICROSOFT CORP,69.3125,2
10107,20000911,MSFT,MICROSOFT CORP,68.8125,2
10107,20000912,MSFT,MICROSOFT CORP,68.125,2
10107,20000913,MSFT,MICROSOFT CORP,68.25,2
10107,20000914,MSFT,MICROSOFT CORP,65.8125,2
10107,20000915,MSFT,MICROSOFT CORP,64.1875,2
10107,20000918,MSFT,MICROSOFT CORP,63,2
10107,20000919,MSFT,MICROSOFT CORP,65,2
10107,20000920,MSFT,MICROSOFT CORP,64.25,2
10107,20000921,MSFT,MICROSOFT CORP,64.1875,2
10107,20000922,MSFT,MICROSOFT CORP,63.25,2
10107,20000925,MSFT,MICROSOFT CORP,61.25,2
10107,20000926,MSFT,MICROSOFT CORP,62.6875,2
10107,20000927,MSFT,MICROSOFT CORP,60.625,2
10107,20000928,MSFT,MICROSOFT CORP,61.3125,2
10107,20000929,MSFT,MICROSOFT CORP,60.3125,2
10107,20001002,MSFT,MICROSOFT CORP,59.125,2
10107,20001003,MSFT,MICROSOFT CORP,56.5625,2
10107,20001004,MSFT,MICROSOFT CORP,55.4375,2
10107,20001005,MSFT,MICROSOFT CORP,55.375,2
10107,20001006,MSFT,MICROSOFT CORP,55.5625,2
10107,20001009,MSFT,MICROSOFT CORP,54.1875,2
10107,20001010,MSFT,MICROSOFT CORP,54.5625,2
10107,20001011,MSFT,MICROSOFT CORP,55.75,2
10107,20001012,MSFT,MICROSOFT CORP,54.375,2
10107,20001013,MSFT,MICROSOFT CORP,53.75,2
10107,20001016,MSFT,MICROSOFT CORP,50.375,2
10107,20001017,MSFT,MICROSOFT CORP,50.4375,2
10107,20001018,MSFT,MICROSOFT CORP,51.75,2
10107,20001019,MSFT,MICROSOFT CORP,61.875,2
10107,20001020,MSFT,MICROSOFT CORP,65.1875,2
